"","sex","degree","income","marital","age","height","weight","wrkstat","wkvsfam","wealth","waypaid","realinc","realrinc","satjob","rincome","partyid","fefam","fechld","absingle"
"138",2,3,12,1,35,65,126,1,1,2,1,63560,20430,3,12,3,NA,NA,NA
"139",2,0,12,1,38,57,113,1,4,3,2,14755,4086,2,8,2,3,1,NA
"140",2,1,12,5,25,61,155,1,3,5,2,14755,5107.5,3,9,4,3,3,2
"141",1,2,12,3,55,67,160,1,3,1,2,45400,20430,2,12,6,NA,NA,1
"142",1,1,11,1,34,70,175,2,3,3,2,10782.5,4086,1,8,1,4,2,NA
"143",1,0,NA,3,49,NA,NA,7,NA,NA,NA,NA,NA,3,NA,3,3,3,2
"144",1,1,10,5,18,NA,NA,6,NA,NA,NA,8512.5,NA,NA,NA,3,2,2,NA
"145",1,1,12,3,56,69,270,1,2,7,2,30645,30645,1,12,0,3,3,NA
"146",1,1,12,5,19,73,250,1,4,2,2,30645,NA,2,NA,4,3,2,1
"147",1,1,12,5,34,NA,NA,4,NA,NA,NA,30645,30645,3,12,1,3,3,NA
"148",2,3,9,5,26,60,171,1,4,1,1,6242.5,6242.5,4,9,3,3,3,NA
"149",1,1,12,5,28,NA,NA,6,NA,NA,NA,30645,NA,NA,NA,3,2,1,2
"150",2,4,12,4,59,62,137,1,3,9,1,45400,45400,1,12,0,4,1,NA
"151",2,4,12,5,39,70,260,1,2,7,2,30645,30645,1,12,2,NA,NA,1
"152",2,1,4,4,77,NA,NA,5,NA,NA,NA,2043,NA,NA,NA,0,NA,NA,2
"153",2,1,4,5,35,NA,NA,4,NA,NA,NA,2043,NA,1,NA,3,3,2,NA
"154",2,3,12,4,46,60,120,1,4,4,2,37455,8512.5,2,10,3,NA,NA,2
"155",1,0,2,5,57,62,150,1,3,3,2,20430,20430,3,12,5,2,1,NA
"156",2,0,9,1,35,60,160,1,4,1,2,5107.5,908,2,2,1,NA,NA,2
"157",2,1,12,4,58,63,209,1,2,2,4,12485,12485,1,12,5,3,4,2
"158",2,1,12,5,20,64,189,2,2,2,2,20430,2951,2,6,7,4,1,2
"159",2,0,10,1,48,63,140,1,3,3,2,8512.5,3405,2,7,2,3,1,NA
"160",2,0,9,4,51,67,148,1,1,1,2,6242.5,6242.5,2,9,3,2,2,2
"161",2,0,NA,5,18,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,2
"162",2,1,12,5,18,NA,NA,6,NA,NA,NA,54480,NA,NA,NA,1,3,1,NA
"163",2,1,12,1,41,61,124,1,2,4,2,30645,17025,1,12,1,3,2,2
"164",2,1,5,1,51,NA,NA,7,NA,NA,NA,2497,NA,2,NA,1,NA,NA,2
"165",2,0,3,1,41,NA,NA,7,NA,NA,NA,1589,NA,3,NA,3,2,1,2
"166",2,1,NA,5,71,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,2,3,3,NA
"167",1,0,12,5,43,65,160,1,2,2,2,20430,NA,2,NA,1,NA,NA,1
"168",1,3,NA,5,53,NA,NA,2,NA,9,NA,NA,NA,1,NA,3,3,2,2
"169",1,2,12,5,46,70,190,1,1,7,2,24970,24970,3,12,1,NA,NA,1
"170",1,1,12,1,36,69,207,1,2,4,2,30645,24970,2,12,0,2,2,1
"171",1,1,12,5,19,70,130,1,4,2,2,30645,3405,3,7,4,NA,NA,1
"172",1,1,12,1,65,67,200,2,4,1,2,14755,12485,3,12,2,2,4,NA
"173",2,1,12,3,60,64,125,1,2,3,2,20430,20430,2,12,6,NA,NA,1
"174",2,3,NA,5,63,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,0,4,1,NA
"175",1,4,12,1,36,69,185,1,3,7,1,119879.41732,151050.72136,1,12,0,NA,NA,NA
"176",2,3,12,1,40,NA,NA,7,NA,NA,NA,72640,NA,NA,NA,3,2,3,NA
"177",2,4,12,1,42,65,126,1,1,10,1,119879.41732,72640,1,12,0,4,1,1
"178",1,1,12,4,61,73,250,1,1,8,1,63560,63560,1,12,4,NA,NA,1
"179",1,3,12,5,27,65,143,1,3,4,1,37455,37455,2,12,1,3,2,NA
"180",1,1,9,5,52,NA,NA,7,NA,NA,NA,6242.5,NA,3,NA,3,2,2,1
"181",2,1,NA,5,36,NA,NA,2,NA,NA,8,NA,NA,1,NA,3,NA,NA,2
"182",2,1,9,3,74,NA,NA,5,NA,NA,NA,5107.5,NA,NA,NA,2,3,2,NA
"183",1,4,12,5,36,69,185,1,2,1,12,63560,30645,4,12,0,4,2,1
"184",1,4,12,5,34,68,185,1,2,5,1,37455,37455,2,12,0,3,1,NA
"185",1,3,12,3,46,67,180,1,3,8,1,63560,63560,4,12,2,3,4,2
"186",2,1,12,5,21,NA,NA,6,NA,NA,NA,72640,908,NA,2,0,NA,NA,1
"187",2,0,12,3,72,NA,NA,5,NA,NA,NA,45400,45400,NA,12,2,4,2,NA
"188",1,3,12,1,46,66,175,1,2,5,1,54480,45400,3,12,1,2,3,2
"189",2,1,NA,5,21,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"190",1,1,12,5,46,68,240,1,2,NA,2,37455,30645,1,12,4,3,2,NA
"191",1,1,12,3,53,70,205,1,2,9,1,54480,54480,1,12,6,NA,NA,1
"192",2,4,12,2,74,NA,NA,5,NA,NA,NA,119879.41732,NA,NA,NA,5,NA,NA,2
"193",1,0,1,3,70,NA,NA,7,NA,NA,NA,227,NA,2,NA,2,2,3,NA
"194",2,3,12,1,36,63,180,1,2,2,1,45400,24970,1,12,4,2,1,2
"195",1,0,10,1,57,NA,NA,5,NA,NA,NA,8512.5,NA,NA,NA,6,4,4,NA
"196",1,3,12,5,60,76,240,1,1,10,1,45400,45400,2,12,4,2,2,2
"197",2,0,12,3,53,61,150,1,4,8,2,30645,10782.5,1,11,6,3,3,NA
"198",1,1,12,1,69,65,175,1,3,10,1,45400,10782.5,1,11,1,2,2,2
"199",2,3,12,1,38,63,132,1,4,9,2,63560,30645,1,12,1,NA,NA,1
"200",2,1,12,1,48,62,130,2,3,12,2,119879.41732,5107.5,1,9,5,4,1,1
"201",1,3,12,5,30,62,138,1,3,7,1,37455,37455,3,12,4,4,1,1
"202",1,1,12,5,29,NA,NA,7,NA,NA,NA,119879.41732,63560,1,12,1,3,3,2
"203",2,3,12,1,68,NA,NA,5,NA,NA,NA,54480,NA,NA,NA,0,NA,NA,1
"204",2,1,12,1,64,NA,NA,7,NA,NA,NA,37455,NA,2,NA,2,3,4,2
"205",1,4,12,1,43,NA,NA,4,NA,NA,NA,37455,NA,2,NA,3,NA,NA,1
"206",2,1,12,2,69,NA,NA,5,NA,NA,NA,45400,NA,NA,NA,7,4,2,NA
"207",1,1,12,1,47,68,200,1,3,8,2,54480,24970,3,12,4,3,2,2
"208",1,1,12,1,57,NA,NA,7,NA,NA,NA,37455,NA,1,NA,7,3,3,NA
"209",1,4,12,1,50,67,152,1,4,9,1,45400,NA,2,NA,1,NA,NA,1
"210",2,1,NA,5,25,NA,NA,4,NA,NA,NA,NA,NA,3,NA,3,4,1,NA
"211",1,1,10,3,75,NA,NA,5,NA,NA,NA,8512.5,NA,NA,NA,0,NA,NA,1
"212",1,1,12,1,46,74,240,1,3,8,1,119879.41732,54480,1,12,6,3,3,NA
"213",2,0,11,3,77,NA,NA,5,NA,NA,NA,9647.5,NA,NA,NA,2,3,2,1
"214",2,0,9,5,18,NA,NA,6,NA,NA,NA,6242.5,NA,NA,NA,0,4,1,NA
"215",2,1,12,1,62,NA,NA,5,NA,NA,NA,14755,NA,NA,NA,6,NA,NA,2
"216",2,2,12,1,30,67,230,2,3,1,2,14755,8512.5,2,10,1,3,1,1
"217",2,0,11,2,70,NA,NA,5,NA,NA,NA,9647.5,NA,NA,NA,0,NA,NA,2
"218",1,0,3,1,50,66,180,1,4,3,2,2497,2497,2,5,3,2,3,NA
"219",2,1,9,4,44,NA,NA,7,NA,NA,NA,5107.5,NA,1,NA,2,3,3,2
"220",2,1,12,1,33,63,120,1,2,6,2,17025,17025,1,12,3,NA,NA,2
"221",2,4,12,1,34,63,153,1,2,7,1,63560,37455,1,12,6,NA,NA,2
"222",2,3,12,1,46,72,220,2,3,8,2,119879.41732,NA,2,NA,0,NA,NA,1
"223",1,1,12,1,51,71,160,2,2,4,2,30645,NA,2,NA,1,3,2,1
"224",1,1,12,5,28,74,170,1,3,5,2,37455,17025,1,12,0,NA,NA,1
"225",1,3,12,3,74,69,210,2,4,8,2,30645,4086,1,8,2,3,2,2
"226",2,1,12,5,29,67,250,2,1,2,2,30645,5107.5,4,9,3,3,3,NA
"227",1,0,12,1,49,NA,NA,4,NA,NA,NA,14755,8512.5,1,10,2,3,2,2
"228",2,3,12,5,28,69,270,1,2,1,2,30645,17025,3,12,2,NA,NA,1
"229",2,1,12,4,48,NA,NA,7,NA,NA,NA,37455,NA,4,NA,4,2,3,NA
"230",2,1,12,5,24,64,215,2,2,4,2,17025,NA,2,NA,2,4,1,NA
"231",2,1,12,3,51,64,107,1,1,4,5,12485,4086,1,8,4,NA,NA,1
"232",2,3,12,3,42,64,155,1,3,2,1,30645,30645,1,12,6,4,1,NA
"233",1,3,NA,1,44,72,220,1,2,NA,1,NA,NA,1,NA,3,NA,NA,2
"234",2,1,12,1,33,NA,NA,7,NA,NA,NA,20430,NA,1,NA,4,2,2,1
"235",1,1,12,1,29,73,220,1,3,1,2,45400,17025,2,12,5,NA,NA,2
"236",2,3,12,1,48,67,175,1,1,10,2,119879.41732,37455,1,12,2,4,2,NA
"237",2,0,12,2,62,60,155,1,4,5,2,14755,14755,1,12,6,2,3,2
"238",2,1,NA,2,88,NA,NA,7,NA,NA,NA,NA,NA,2,NA,6,NA,NA,2
"239",1,4,12,1,65,69,200,3,4,7,2,72640,37455,1,12,4,3,2,NA
"240",2,1,12,1,28,NA,NA,7,NA,NA,NA,63560,NA,2,NA,3,2,2,1
"241",2,2,12,1,58,65,245,1,2,3,1,37455,17025,1,12,5,NA,NA,2
"242",1,1,12,5,26,68,190,1,2,2,2,20430,20430,1,12,3,NA,NA,2
"243",2,1,12,1,61,61,150,1,4,NA,2,14755,12485,1,12,6,3,1,NA
"244",2,1,12,1,30,64,147,1,1,8,2,37455,17025,1,12,3,2,2,2
"245",2,1,6,5,22,63,220,2,3,1,2,2951,NA,3,NA,0,4,1,NA
"246",2,1,NA,5,24,61,140,1,3,5,2,NA,NA,2,NA,0,3,2,2
"247",1,1,12,5,29,71,216,1,4,4,6,37455,20430,1,12,3,NA,NA,2
"248",1,1,12,2,70,NA,NA,5,NA,NA,NA,20430,NA,NA,NA,4,NA,NA,1
"249",1,4,NA,5,34,NA,NA,1,NA,9,NA,NA,NA,NA,NA,4,NA,NA,1
"250",1,1,12,1,66,NA,NA,5,NA,NA,NA,119879.41732,NA,NA,NA,4,4,2,1
"251",2,1,9,3,84,NA,NA,5,NA,NA,NA,6242.5,NA,NA,NA,4,NA,NA,2
"252",1,3,12,1,37,70,220,1,3,10,4,119879.41732,151050.72136,2,12,2,3,1,NA
"253",2,2,10,3,61,NA,NA,4,NA,NA,NA,7377.5,2951,1,6,3,3,2,NA
"254",2,1,9,5,58,NA,NA,7,NA,NA,NA,6242.5,NA,1,NA,0,1,2,NA
"255",1,0,9,3,88,NA,NA,5,NA,NA,NA,5107.5,NA,NA,NA,1,2,2,1
"256",2,0,NA,4,80,NA,NA,7,NA,NA,NA,NA,NA,2,NA,3,2,1,1
"257",1,1,12,5,36,68,220,1,2,2,2,63560,14755,3,12,4,NA,NA,1
"258",2,3,12,5,33,65,135,1,4,1,2,24970,NA,2,NA,0,4,2,1
"259",1,3,12,2,81,NA,NA,5,NA,NA,NA,24970,NA,NA,NA,4,2,2,2
"260",1,1,12,1,31,65,165,1,4,4,2,30645,30645,1,12,1,3,2,NA
"261",2,3,12,1,69,NA,NA,5,NA,NA,NA,72640,NA,NA,NA,0,4,1,1
"262",1,3,12,5,26,72,150,1,3,9,2,72640,6242.5,3,9,0,NA,NA,1
"263",1,3,12,1,45,71,185,1,2,14,1,72640,30645,2,12,7,4,1,NA
"264",2,3,12,1,54,65,220,2,2,7,5,37455,NA,3,NA,3,4,1,NA
"265",2,3,12,1,61,NA,NA,4,NA,NA,NA,119879.41732,14755,2,12,4,4,2,1
"266",1,1,12,5,19,NA,NA,6,NA,NA,NA,24970,NA,NA,NA,1,4,2,NA
"267",1,3,12,4,58,75,200,1,2,8,1,45400,37455,2,12,2,NA,NA,1
"268",2,2,12,3,50,67,145,1,3,7,2,37455,37455,1,12,2,4,1,NA
"269",1,3,12,5,36,73,350,1,3,5,1,63560,30645,2,12,0,NA,NA,1
"270",2,1,12,5,27,65,200,1,2,1,2,37455,17025,2,12,1,3,2,1
"271",1,1,12,5,51,64,165,1,3,5,2,30645,20430,2,12,2,NA,NA,1
"272",1,3,9,1,48,NA,NA,1,4,2,2,6242.5,NA,1,NA,1,3,1,2
"273",2,1,12,5,29,67,140,1,2,3,2,30645,8512.5,2,10,1,NA,NA,2
"274",2,4,12,3,65,70,214,1,3,8,2,45400,6242.5,2,9,0,4,1,1
"275",2,3,12,5,67,NA,NA,5,NA,NA,NA,37455,24970,NA,12,0,NA,NA,1
"276",1,3,12,1,53,75,215,1,1,10,1,54480,45400,1,12,1,3,1,NA
"277",1,4,12,1,45,65,127,1,2,13,1,119879.41732,151050.72136,1,12,0,NA,NA,1
"278",2,1,12,3,36,65,140,2,3,4,1,14755,6242.5,3,9,1,NA,NA,1
"279",1,1,12,1,60,72,150,1,4,9,2,54480,45400,1,12,7,NA,NA,1
"280",2,3,12,1,63,65,155,1,2,8,2,119879.41732,24970,3,12,1,3,2,NA
"281",2,1,12,3,52,65,160,1,3,7,1,30645,30645,3,12,5,4,1,2
"282",1,1,12,1,34,69,170,1,2,1,4,37455,17025,2,12,2,NA,NA,1
"283",1,1,NA,1,58,76,195,1,3,8,2,NA,17025,2,12,5,3,2,NA
"284",1,1,12,1,63,NA,NA,5,NA,NA,NA,63560,54480,NA,12,5,3,2,1
"285",2,3,12,3,71,NA,NA,5,NA,NA,NA,30645,NA,NA,NA,1,NA,NA,1
"286",2,1,12,1,67,NA,NA,5,NA,NA,NA,54480,NA,NA,NA,1,4,1,NA
"287",2,3,12,3,65,NA,NA,4,NA,NA,NA,72640,63560,1,12,5,NA,NA,1
"288",2,1,12,5,39,66,180,1,2,NA,1,20430,20430,2,12,5,3,1,1
"289",2,1,12,4,46,62,170,1,4,2,2,24970,NA,1,NA,3,4,1,NA
"290",2,1,11,2,83,NA,NA,5,NA,NA,NA,10782.5,NA,NA,NA,0,2,1,2
"291",1,3,12,3,59,73,190,1,3,7,1,54480,54480,2,12,5,NA,NA,2
