year,Unemployment,Inflation,FedRate
2005,5.266666667,1.960297968,5.306666667
2006,5.333333333,1.593151563,5.28
2007,5.233333333,2.891244827,5.276666667
2008,5,1.811204985,5.523333333
2009,4.866666667,1.17681756,5.533333333
2010,4.666666667,1.446656188,5.506666667
2011,4.633333333,1.052375759,5.52
2012,4.433333333,1.010788758,5.5
2013,4.533333333,1.395350252,5.533333333
2014,4.433333333,1.081917197,4.86
2015,4.266666667,1.694265144,4.733333333
2016,4.3,1.342604953,4.746666667
2017,4.233333333,1.376279672,5.093333333
2018,4.1,1.789712158,5.306666667
2019,4.033333333,3.668536091,5.68
2020,4,2.102698919,6.273333333
2021,4.066666667,1.868114735,6.52
2022,3.966666667,1.748108227,6.473333333
