Student_ID,Gender,Age,Program,Year_of_Study,Math_Score,English_Score,Data_Skills_PreTest,Attendance_Pct,Study_Hours_Per_Week,Parental_Education,Family_Income_Level,Has_Internet_At_Home,Uses_Learning_Apps,Participates_in_Group_Work,Previous_CGPA,Distance_From_Campus_km,Scholarship_Status,Final_Grade,At_Risk
STUD0012,Female,21,Computer Science,2,53,67.9,72,75,3,Degree,Low,FALSE,FALSE,FALSE,3.01,19.9,FALSE,50.3,0
STUD0013,Female,23,Education,2,76.5,89.6,1.4,80.7,9,None,Low,TRUE,FALSE,TRUE,3.88,4.4,FALSE,55.9,0
STUD0014,Male,23,Nursing,3,72.7,78.7,69.7,82.9,4,Degree,Low,FALSE,FALSE,FALSE,3.19,0.5,FALSE,59.5,0
STUD0015,Male,21,Agriculture,2,58.8,55.7,50.7,72.6,10,None,Medium,TRUE,FALSE,FALSE,2.87,1,FALSE,47.2,1
STUD0016,Male,25,Nursing,4,77.2,79.1,55.3,81.2,6,Degree,Low,FALSE,FALSE,TRUE,3.49,28.6,FALSE,58.7,0
STUD0017,Male,20,Nursing,4,67.1,61.2,59.2,80.3,11,Diploma,Low,TRUE,TRUE,FALSE,2.87,16.5,FALSE,50.5,0
STUD0018,Female,19,Business,2,57.4,48.4,53.6,62,7,Diploma,Medium,TRUE,FALSE,TRUE,2.48,5.3,FALSE,43.9,1
STUD0019,Male,20,Nursing,4,62.3,53.4,62.6,87.6,12,None,Medium,TRUE,FALSE,TRUE,2.81,25.9,FALSE,56.6,0
STUD0020,Male,21,Nursing,2,58.2,56.3,69.6,80,7,Degree,Low,FALSE,TRUE,TRUE,2.56,1.6,FALSE,49.2,1
STUD0021,Female,22,Education,2,47.2,54.4,44.4,63.8,13,Degree,Medium,TRUE,TRUE,TRUE,2.76,0.9,FALSE,46.6,1
STUD0022,Male,19,Business,1,83.9,95.9,15.1,100,10,Diploma,Medium,TRUE,TRUE,FALSE,4.37,7.4,FALSE,69.1,0
STUD0023,Male,18,Nursing,3,56.5,50.1,29.8,93.2,13,Diploma,Low,TRUE,TRUE,FALSE,2.95,3.9,TRUE,49.4,1
STUD0024,Male,20,Computer Science,3,52.5,69.7,66.7,76.7,9,Diploma,Low,FALSE,TRUE,TRUE,2.34,3.3,FALSE,48.2,1
STUD0025,Male,21,Nursing,1,42.1,47.1,26.5,65.2,11,None,Low,TRUE,FALSE,TRUE,2.36,10.6,TRUE,31,1
STUD0026,Female,20,Computer Science,1,25.5,20.1,63.5,57.2,3,Diploma,Medium,TRUE,FALSE,TRUE,1.66,1.3,TRUE,35.9,1
STUD0027,Male,19,Business,3,75.5,65.3,90,77.8,9,Degree,High,TRUE,FALSE,TRUE,3.78,12.1,FALSE,72.9,0
STUD0028,Female,24,Nursing,2,76.9,82.9,63.8,84.8,5,Secondary,Low,TRUE,FALSE,TRUE,4.02,3.6,FALSE,72.6,0
STUD0029,Female,20,Computer Science,2,82.9,78.2,56.5,93.6,7,None,Low,FALSE,TRUE,FALSE,3.53,34.6,FALSE,67.4,0
STUD0030,Male,18,Computer Science,3,62.8,66.7,41,83.9,6,Secondary,High,TRUE,TRUE,TRUE,2.96,13.2,FALSE,55.5,0
STUD0031,Female,18,Education,2,60.2,74.4,69.6,96,12,Diploma,High,TRUE,TRUE,TRUE,3.43,8.3,FALSE,61.8,0
STUD0032,Male,17,Nursing,1,57.4,49.1,56.9,82.3,8,None,Medium,TRUE,FALSE,FALSE,2.82,2.1,FALSE,50,1
STUD0033,Male,20,Computer Science,2,58.8,49.7,74.3,82.3,9,Secondary,High,TRUE,TRUE,FALSE,2.9,25.1,FALSE,51.1,0
STUD0034,Female,25,Agriculture,2,81.8,51.4,20.2,85.7,8,None,Medium,TRUE,FALSE,FALSE,3.73,0.5,FALSE,50,1
STUD0035,Female,23,Computer Science,4,64.6,72.5,75.3,98.9,6,Diploma,Medium,TRUE,FALSE,FALSE,3.53,2,FALSE,54.3,0
STUD0036,Female,23,Agriculture,4,70.7,73,9.3,88.5,8,None,Low,FALSE,TRUE,TRUE,3.89,0.5,FALSE,58.3,0
STUD0037,Male,23,Agriculture,4,58.4,67.3,62.1,62.7,3,Diploma,Medium,TRUE,FALSE,TRUE,2.62,27.2,FALSE,54.3,0
STUD0038,Male,24,Education,2,84.8,64.1,48.3,92,6,Secondary,Low,TRUE,TRUE,FALSE,3.56,16.4,TRUE,60.2,0
STUD0039,Female,17,Business,3,36.4,30.8,31.6,84,7,Diploma,High,TRUE,FALSE,TRUE,2.02,24.3,FALSE,43.7,1
STUD0040,Male,24,Education,1,46.7,39.8,63.2,94,3,Degree,High,TRUE,FALSE,FALSE,2.5,10,TRUE,59.3,0
STUD0041,Male,20,Business,2,70.7,58.2,51,68.8,10,None,Medium,TRUE,FALSE,TRUE,2.73,0.5,FALSE,46.2,1
STUD0042,Female,20,Computer Science,3,91.3,95.3,84.3,99.5,13,Secondary,Low,FALSE,FALSE,FALSE,5,21.4,FALSE,82.9,0
STUD0043,Male,20,Computer Science,2,61.6,72,80.5,75.4,7,Degree,Low,FALSE,TRUE,TRUE,3.21,4.4,FALSE,59.6,0
STUD0044,Female,22,Computer Science,1,52.4,51.8,68.2,76.2,7,Secondary,Low,FALSE,TRUE,FALSE,2.36,3.7,TRUE,58.5,0
STUD0045,Male,23,Education,2,80,76,49,98.7,6,Secondary,Low,FALSE,FALSE,TRUE,3.5,2.7,TRUE,61.7,0
STUD0046,Female,22,Computer Science,1,69.9,60.1,61,94.6,6,Degree,Medium,FALSE,TRUE,TRUE,3.37,2.7,FALSE,64.7,0
STUD0047,Male,17,Business,2,84.4,79.3,55.7,100,5,Degree,High,TRUE,TRUE,FALSE,4.14,12.9,TRUE,71.7,0
STUD0048,Female,24,Agriculture,1,45.6,41,46.3,72.4,9,Diploma,Low,FALSE,FALSE,TRUE,2.68,2.4,FALSE,49.3,1
STUD0049,Female,23,Education,2,83.2,82.4,53.2,86,8,Secondary,Low,FALSE,FALSE,FALSE,3.91,2,FALSE,62.4,0
STUD0050,Male,22,Business,1,41.8,41.6,27.2,72.9,9,Secondary,Medium,TRUE,FALSE,TRUE,2.52,9.6,FALSE,37.7,1
STUD0051,Female,22,Education,4,60.7,69.5,3.4,78.5,8,Secondary,Low,FALSE,FALSE,FALSE,3.28,2.7,FALSE,50.8,0
STUD0052,Female,21,Nursing,2,71.2,63.4,36.1,89.3,9,Diploma,High,TRUE,FALSE,TRUE,3.39,0.5,FALSE,62.4,0
STUD0053,Female,22,Agriculture,2,67.8,57.8,55.3,70.4,7,Diploma,Low,FALSE,FALSE,FALSE,2.94,21.5,FALSE,54.6,0
STUD0054,Female,25,Nursing,3,80.9,89.7,54.8,100,10,Degree,Low,FALSE,FALSE,FALSE,4.14,3,TRUE,60.7,0
STUD0055,Female,25,Agriculture,3,37.6,49.3,36.8,65.8,5,None,Low,TRUE,TRUE,TRUE,2.2,11.6,FALSE,45.1,1
STUD0056,Female,24,Computer Science,1,67.1,62,100,84.1,8,Diploma,Low,TRUE,TRUE,FALSE,3.25,5.1,FALSE,70.1,0
STUD0057,Male,25,Nursing,2,83,82.4,37.9,68.1,4,Secondary,Medium,TRUE,TRUE,FALSE,3.78,1.2,FALSE,57.2,0
STUD0058,Male,24,Nursing,1,65.9,51.1,42.6,96.3,8,Secondary,Low,FALSE,FALSE,TRUE,3.67,8.7,TRUE,59.4,0
STUD0059,Male,24,Computer Science,4,47.9,64.8,76.8,95.5,6,Diploma,Medium,TRUE,TRUE,TRUE,2.68,2.1,TRUE,58.9,0
STUD0060,Male,17,Agriculture,3,80.1,71.7,21,84.6,7,Secondary,Medium,TRUE,FALSE,FALSE,3.67,2.7,FALSE,53,0
STUD0061,Male,21,Computer Science,1,55.3,64.2,90.5,80,6,Diploma,Low,FALSE,TRUE,FALSE,3.07,0.5,FALSE,62.8,0
STUD0062,Male,20,Business,1,52.6,41.1,48.1,77.8,6,Diploma,Low,FALSE,FALSE,TRUE,2.44,0.5,FALSE,45.1,1
STUD0063,Female,18,Computer Science,3,50.7,51.6,70.5,69.1,8,Degree,Medium,TRUE,FALSE,TRUE,2.94,5.8,FALSE,43.5,1
STUD0064,Male,24,Education,2,62,62.3,78.5,77.4,6,Diploma,Medium,TRUE,FALSE,TRUE,2.9,0.5,FALSE,61.7,0
STUD0065,Male,19,Business,1,67.7,76,4.1,100,10,Degree,High,TRUE,TRUE,TRUE,3.86,1.9,FALSE,66.7,0
STUD0066,Female,20,Business,3,46,59.4,48.3,65.8,8,Diploma,Low,FALSE,TRUE,TRUE,2.98,20.6,FALSE,35.3,1
STUD0067,Male,23,Education,2,49,50.5,27.3,74.2,12,Secondary,Low,FALSE,TRUE,TRUE,2.8,0.7,FALSE,46,1
STUD0068,Female,25,Education,4,54.6,60.9,42.6,56.4,12,Secondary,Low,FALSE,TRUE,FALSE,2.72,2.7,FALSE,48.7,1
STUD0069,Male,18,Nursing,3,50.7,68,53.2,67.9,8,Diploma,Medium,TRUE,TRUE,TRUE,2.99,10.4,FALSE,45,1
STUD0070,Female,19,Computer Science,1,65.6,62.3,73.1,93.4,10,Diploma,Medium,TRUE,TRUE,FALSE,3.23,17.3,FALSE,66.1,0
STUD0071,Female,20,Education,4,70.4,64.2,25.5,100,11,Diploma,High,TRUE,TRUE,TRUE,3.34,0.5,TRUE,51.7,0
STUD0072,Male,17,Agriculture,2,68.4,47.1,90.5,69.3,11,Secondary,Medium,TRUE,FALSE,FALSE,3.06,1.6,FALSE,58,0
STUD0073,Male,23,Nursing,2,68.4,63.2,34.5,75.5,7,Secondary,Low,TRUE,FALSE,TRUE,3.41,3.9,TRUE,49.5,1
STUD0074,Female,18,Education,3,90.1,61.6,20.8,100,10,Secondary,Medium,TRUE,TRUE,TRUE,3.92,3.6,TRUE,56.3,0
STUD0075,Female,21,Nursing,3,71.4,66.7,64.7,86.1,5,Diploma,High,TRUE,FALSE,FALSE,3.54,2.7,FALSE,62.5,0
STUD0076,Female,17,Nursing,3,76.8,80.9,47.3,84.2,15,Diploma,Low,FALSE,TRUE,TRUE,4.53,2.2,FALSE,61.8,0
STUD0077,Female,19,Nursing,2,58.8,39.1,84.8,77.4,9,Diploma,Medium,TRUE,TRUE,TRUE,3.05,2.5,FALSE,59.9,0
STUD0078,Male,18,Business,4,79.2,84.8,27.3,92.1,7,Secondary,High,TRUE,TRUE,FALSE,3.72,1.1,FALSE,62.3,0
STUD0079,Male,17,Computer Science,2,58.1,56.5,75.1,77.2,7,Secondary,Medium,FALSE,FALSE,TRUE,2.95,1.4,FALSE,59.1,0
STUD0080,Male,23,Computer Science,1,71.2,67.4,96.1,80.5,8,Diploma,Medium,TRUE,TRUE,FALSE,3.46,7.5,FALSE,68.9,0
STUD0081,Female,21,Computer Science,2,44.4,46.6,80.9,54.9,6,Diploma,Low,FALSE,FALSE,FALSE,1.99,2.8,FALSE,51.1,0
STUD0082,Female,17,Business,1,67.5,48.4,68.1,75.8,8,Secondary,Medium,FALSE,TRUE,TRUE,3.15,4.1,FALSE,53.3,0
STUD0083,Male,22,Computer Science,4,50.4,47.4,70.4,81.9,6,Diploma,Low,FALSE,FALSE,TRUE,2.41,4.2,TRUE,49.5,1
STUD0084,Male,21,Business,3,79,93.4,26.9,76.5,7,Secondary,Medium,TRUE,TRUE,FALSE,4.07,0.9,FALSE,57.4,0
STUD0085,Male,19,Education,3,78.1,60.9,67.7,84.2,5,Diploma,Low,TRUE,FALSE,TRUE,3.98,13.7,FALSE,62.6,0
STUD0086,Male,23,Computer Science,2,58,43.9,53.1,100,8,Degree,High,TRUE,FALSE,FALSE,2.91,25.1,TRUE,48.9,1
STUD0087,Female,25,Nursing,3,95.7,83.9,66.4,94.3,6,Diploma,High,TRUE,FALSE,TRUE,4.35,2.4,FALSE,78.8,0
STUD0088,Female,25,Education,4,60.7,60.6,32.3,88.5,5,Diploma,Medium,TRUE,FALSE,FALSE,3.18,2.8,TRUE,47.1,1
STUD0089,Female,25,Computer Science,3,40.8,46.3,53.9,81.1,11,Secondary,Low,FALSE,TRUE,FALSE,2.22,9.5,TRUE,43.4,1
STUD0090,Male,18,Nursing,2,53.3,57.1,37.1,71.3,11,Diploma,Low,FALSE,FALSE,TRUE,2.6,0.7,FALSE,50.1,0
STUD0091,Male,19,Computer Science,4,49.3,61,65.5,66.4,3,Diploma,Medium,TRUE,FALSE,FALSE,2.72,19,FALSE,51.8,0
STUD0092,Female,23,Business,1,70.7,61.5,48.5,80.1,4,Diploma,Medium,TRUE,TRUE,TRUE,3.24,1,FALSE,49.5,1
STUD0093,Female,21,Nursing,2,46.5,54.8,54.6,66.3,11,Diploma,Medium,FALSE,FALSE,TRUE,2.56,10.5,FALSE,44,1
STUD0094,Female,18,Education,1,56.9,69.4,80.3,80.7,6,None,Low,FALSE,TRUE,TRUE,3.37,2.8,FALSE,57.3,0
STUD0095,Female,19,Nursing,4,69.7,56.9,43.1,70.3,9,Degree,Medium,TRUE,TRUE,TRUE,3.24,3.1,FALSE,52,0
STUD0096,Female,22,Business,2,67.1,42,77.1,63.2,3,Diploma,Medium,FALSE,FALSE,TRUE,3.32,1.2,FALSE,53.1,0
STUD0097,Female,23,Education,2,64.8,70.6,63.4,79.4,13,Secondary,Medium,FALSE,TRUE,TRUE,3.09,8.3,TRUE,63.2,0
STUD0098,Male,25,Computer Science,4,66.9,90.2,58.4,66.2,8,Diploma,Medium,FALSE,TRUE,TRUE,3.37,12.7,FALSE,59.7,0
STUD0099,Male,17,Computer Science,3,59.4,60.6,55.9,76.8,8,None,Medium,TRUE,TRUE,TRUE,3.43,24,FALSE,54.4,0
STUD0100,Male,23,Agriculture,2,40.9,51.6,52.1,47,6,None,Low,FALSE,FALSE,TRUE,2.67,3.2,FALSE,37,1
STUD0101,Male,24,Education,2,59,57.5,63.5,79.8,11,Secondary,Low,TRUE,FALSE,TRUE,2.77,7.8,FALSE,61.9,0
STUD0102,Female,19,Business,1,72,84.1,66.2,81.6,6,Diploma,Medium,TRUE,TRUE,FALSE,3.5,4.3,FALSE,65.9,0
STUD0103,Male,20,Business,3,62.9,62,19.8,100,5,Degree,Low,FALSE,FALSE,FALSE,3.22,6.5,TRUE,51,0
STUD0104,Female,22,Business,1,70.9,65.7,62.6,83.1,4,Diploma,Medium,TRUE,TRUE,FALSE,3.72,1.4,FALSE,65.6,0
STUD0105,Female,23,Computer Science,1,56.2,67.8,78.9,78.2,4,Diploma,Medium,TRUE,FALSE,TRUE,2.95,7,FALSE,58.6,0
STUD0106,Male,20,Education,3,79.9,68.1,52.1,91.2,8,Secondary,High,TRUE,TRUE,TRUE,3.61,15.1,FALSE,63.8,0
STUD0107,Male,24,Business,3,26.7,28.1,42.6,54,9,Secondary,Medium,TRUE,TRUE,TRUE,1.57,15.9,FALSE,31.1,1
STUD0108,Female,21,Computer Science,4,67.1,74.1,76.2,84.7,6,None,Low,FALSE,FALSE,TRUE,3.43,5.3,TRUE,67.7,0
STUD0109,Male,17,Computer Science,3,85.2,70.2,56.8,83.9,7,Diploma,Low,FALSE,FALSE,FALSE,3.82,2.2,FALSE,72,0
STUD0110,Male,20,Computer Science,2,87.5,67.7,59.5,92.3,5,Degree,High,TRUE,FALSE,FALSE,4.33,14.5,FALSE,71.3,0
STUD0111,Male,19,Education,3,61.5,82.9,63.4,93.4,4,Secondary,Low,FALSE,FALSE,TRUE,3.91,50,TRUE,62.9,0
STUD0112,Male,25,Nursing,4,45.1,50.3,33.6,65,8,Diploma,Medium,TRUE,TRUE,TRUE,2.12,3.8,FALSE,47.8,1
STUD0113,Female,24,Computer Science,4,85.5,81.2,70.8,99.1,9,Degree,Medium,TRUE,FALSE,FALSE,4.01,20.7,FALSE,70,0
STUD0114,Female,17,Computer Science,4,64.2,63.8,71.2,68.5,7,None,Low,TRUE,TRUE,FALSE,3.05,32.8,FALSE,51.6,0
STUD0115,Female,22,Education,3,62.6,53.7,39.4,83,9,Diploma,Low,FALSE,FALSE,TRUE,2.9,4,FALSE,55.3,0
STUD0116,Female,25,Business,3,51.6,62.9,39,90,4,Diploma,Medium,FALSE,FALSE,TRUE,3.24,10.1,FALSE,58,0
STUD0117,Female,23,Business,1,46.3,55.9,28.3,100,12,Diploma,High,TRUE,TRUE,TRUE,3.37,7,TRUE,50.1,0
STUD0118,Male,20,Education,1,73.5,62.5,52.8,70.6,7,Secondary,Low,FALSE,FALSE,TRUE,3.09,10.2,FALSE,63.9,0
STUD0119,Female,17,Nursing,2,75,74.4,80,100,7,Diploma,High,TRUE,FALSE,FALSE,3.74,1.3,TRUE,61.1,0
STUD0120,Female,18,Business,1,68,60.7,55.8,67,10,Diploma,Medium,FALSE,TRUE,TRUE,3.38,3.7,TRUE,54.7,0
STUD0121,Female,21,Nursing,2,53.5,46.1,42,72,11,None,High,TRUE,TRUE,TRUE,2.99,0.5,FALSE,42.6,1
STUD0122,Female,21,Nursing,4,49,42.4,68.7,74.5,8,Diploma,Low,FALSE,FALSE,TRUE,2.34,7.6,FALSE,43.2,1
STUD0123,Male,24,Computer Science,1,43.5,53.8,66.4,72.9,7,None,Low,TRUE,TRUE,TRUE,2.67,20.9,FALSE,48,1
STUD0124,Male,22,Computer Science,3,56.6,55.1,75.7,93,6,Degree,High,TRUE,FALSE,FALSE,2.78,6.6,FALSE,65,0
STUD0125,Male,24,Computer Science,1,49.9,70,67.1,84.4,8,Diploma,High,TRUE,TRUE,TRUE,3.34,0.6,FALSE,62.9,0
STUD0126,Male,18,Education,2,39.4,48.2,18.1,57,10,Degree,Medium,FALSE,FALSE,TRUE,2.03,21.3,FALSE,43,1
STUD0127,Female,19,Agriculture,1,74.8,62,46.8,59.4,4,Secondary,Medium,TRUE,FALSE,FALSE,3.12,1.1,FALSE,55,0
STUD0128,Female,22,Education,4,45.2,53.7,83.6,79.4,13,None,High,TRUE,FALSE,TRUE,2.58,17.2,FALSE,52,0
STUD0129,Male,19,Computer Science,3,79.8,59.9,61.1,87.1,7,None,Low,FALSE,TRUE,TRUE,3.19,10,FALSE,62.3,0
STUD0130,Female,22,Nursing,2,70.9,66.7,73.7,98.6,8,Secondary,Medium,TRUE,TRUE,TRUE,3.37,8.1,TRUE,57,0
STUD0131,Male,22,Business,3,69.4,69.8,63.2,96.1,5,Secondary,High,TRUE,TRUE,TRUE,3.38,7.1,FALSE,69.5,0
STUD0132,Male,18,Computer Science,3,90,80.9,76.1,91.1,9,Diploma,Low,FALSE,TRUE,TRUE,4.45,1.1,FALSE,63.8,0
STUD0133,Male,23,Education,2,45.7,65.5,46.9,91.7,12,None,Low,FALSE,FALSE,TRUE,2.87,5.6,FALSE,51.7,0
STUD0134,Male,18,Education,3,78.1,97.8,27.8,100,7,Diploma,Medium,TRUE,FALSE,FALSE,4.17,1.8,FALSE,66.3,0
STUD0135,Female,22,Nursing,3,60.5,68,62.1,95.2,6,Secondary,Low,TRUE,FALSE,TRUE,3.08,6.8,TRUE,62.9,0
STUD0136,Male,17,Computer Science,1,100,98.9,60.8,100,10,Diploma,Low,TRUE,FALSE,FALSE,4.93,4.7,FALSE,81,0
STUD0137,Female,19,Computer Science,3,59.3,86,81.2,100,11,Diploma,High,TRUE,FALSE,FALSE,3.98,9.1,FALSE,70.5,0
STUD0138,Female,18,Business,3,56.9,49.1,79.7,75,5,Diploma,Medium,TRUE,FALSE,TRUE,2.94,32.4,FALSE,41.2,1
STUD0139,Male,23,Computer Science,3,71.4,69.1,86.6,90.5,12,Degree,High,TRUE,FALSE,FALSE,3.46,3.6,FALSE,65.5,0
STUD0140,Female,20,Business,3,61.9,57.3,53,95.5,10,None,High,TRUE,TRUE,FALSE,3.02,7.7,FALSE,53.1,0
STUD0141,Female,24,Education,2,53.6,65.6,19.9,82.1,14,Secondary,Low,FALSE,TRUE,FALSE,2.83,16,TRUE,50.1,0
STUD0142,Male,22,Education,4,50.4,58,47.6,84.5,8,Secondary,Low,TRUE,FALSE,FALSE,3.09,0.8,FALSE,49.9,1
STUD0143,Female,20,Agriculture,1,86.9,68.9,28.6,94.8,13,Secondary,Low,TRUE,FALSE,TRUE,3.8,12.9,FALSE,63.8,0
STUD0144,Male,21,Business,3,47.5,53.6,51.2,64,5,Diploma,Low,FALSE,TRUE,TRUE,2.73,2.2,FALSE,39.3,1
STUD0145,Male,25,Computer Science,3,68.3,76.5,55.2,88.2,8,Secondary,Medium,TRUE,TRUE,TRUE,3.27,6.2,FALSE,61.2,0
STUD0146,Male,23,Business,2,80.8,60.5,29,96.2,13,Diploma,Medium,TRUE,FALSE,FALSE,3.64,38.1,FALSE,68.3,0
STUD0147,Female,25,Nursing,4,81.6,66,44.3,76.9,12,Secondary,Medium,FALSE,FALSE,TRUE,3.45,33.1,FALSE,70.3,0
STUD0148,Female,23,Business,3,56,49.1,0,68,6,Degree,Low,FALSE,FALSE,TRUE,2.42,3,FALSE,45.9,1
STUD0149,Male,17,Computer Science,2,61.9,65.4,59,67.3,8,Degree,Low,FALSE,TRUE,FALSE,2.5,1.1,FALSE,44,1
STUD0150,Male,24,Agriculture,1,59,72.8,89.5,87.2,8,Secondary,Medium,TRUE,FALSE,TRUE,2.88,22.3,TRUE,60.7,0
STUD0151,Female,20,Education,1,42,30.1,42.7,89.3,11,None,Medium,TRUE,FALSE,TRUE,2.71,17.9,TRUE,40.5,1
STUD0152,Male,19,Computer Science,3,73.1,69.8,47.5,83.2,11,Degree,Low,TRUE,TRUE,FALSE,3.27,7.7,FALSE,60,0
STUD0153,Male,23,Computer Science,3,65.6,55.1,77.5,81.8,8,Degree,Medium,FALSE,FALSE,FALSE,3.29,0.5,FALSE,64.8,0
STUD0154,Female,19,Computer Science,4,86.6,87,71,83.3,8,Secondary,Low,TRUE,FALSE,TRUE,4.01,11.1,FALSE,70,0
STUD0155,Female,24,Nursing,4,52.7,54.2,76.5,88.5,5,Secondary,Low,TRUE,FALSE,TRUE,2.73,1.4,TRUE,49.7,1
STUD0156,Male,22,Computer Science,3,81.3,75.1,61.4,84.8,9,Degree,Medium,TRUE,TRUE,TRUE,3.62,22.9,FALSE,70.7,0
STUD0157,Female,21,Computer Science,2,82.4,74.4,61.1,100,11,Diploma,Low,FALSE,FALSE,TRUE,3.92,4.6,TRUE,70.1,0
STUD0158,Female,20,Nursing,4,65.7,75.7,54,88.9,8,Secondary,Medium,TRUE,FALSE,TRUE,3.67,7.6,FALSE,64.3,0
STUD0159,Male,24,Education,3,32.4,64.9,48.2,66.2,6,Diploma,Low,TRUE,TRUE,TRUE,2.02,2.6,TRUE,47.9,1
STUD0160,Female,24,Computer Science,4,57.3,48,81.8,64.6,7,Degree,Low,TRUE,TRUE,TRUE,2.61,5.2,FALSE,49.8,1
STUD0161,Male,17,Computer Science,3,91.8,70.5,56.6,92.2,7,Degree,Low,TRUE,TRUE,TRUE,4.05,11.2,TRUE,61.5,0
STUD0162,Female,25,Computer Science,1,69.5,69.9,81.4,100,7,Diploma,High,TRUE,TRUE,TRUE,3.78,5.4,TRUE,67.4,0
STUD0163,Female,21,Computer Science,3,75.4,62.1,88,91.9,5,Diploma,Medium,TRUE,TRUE,FALSE,3.75,15,FALSE,63.5,0
STUD0164,Female,20,Business,1,63.7,72.5,90.5,100,8,Secondary,High,TRUE,FALSE,FALSE,3.44,10,TRUE,66.8,0
STUD0165,Male,22,Computer Science,4,61.6,72.9,83.9,100,9,Degree,Medium,FALSE,TRUE,TRUE,3.06,0.6,FALSE,71.4,0
STUD0166,Female,22,Computer Science,3,37,41.7,76.3,50.3,6,Secondary,Medium,TRUE,FALSE,TRUE,2.09,7.5,FALSE,42.1,1
STUD0167,Male,18,Nursing,4,76.9,63.5,68,88.1,7,Degree,Low,FALSE,FALSE,FALSE,3.45,7.6,TRUE,71.6,0
STUD0168,Male,24,Business,1,81.2,71,35,95,7,Secondary,Low,TRUE,TRUE,FALSE,4.12,3.8,FALSE,63.4,0
STUD0169,Male,23,Education,3,50.7,56.5,47.7,75,12,Degree,Low,TRUE,TRUE,TRUE,2.87,3.1,FALSE,47.9,1
STUD0170,Female,17,Business,4,62.3,65.5,60.3,68,7,Secondary,Low,FALSE,FALSE,FALSE,3.39,0.5,FALSE,48.4,1
STUD0171,Female,21,Education,1,60.3,38.6,72.2,74.5,7,Diploma,Medium,TRUE,FALSE,TRUE,2.49,4.7,FALSE,51.3,0
STUD0172,Male,22,Education,4,71.3,58.1,28.5,100,8,None,Low,FALSE,TRUE,FALSE,3.8,3.3,TRUE,52,0
STUD0173,Female,20,Business,2,56.8,55.1,35.3,77,11,Diploma,Low,TRUE,FALSE,FALSE,2.96,24.1,TRUE,51.8,0
STUD0174,Male,18,Education,1,79,64.4,48.5,83.3,6,Degree,Low,TRUE,FALSE,FALSE,3.6,9,TRUE,58.9,0
STUD0175,Female,20,Agriculture,1,66.1,36,74.6,64.3,12,Diploma,Medium,TRUE,FALSE,FALSE,2.19,4.9,FALSE,49.7,1
STUD0176,Male,17,Computer Science,1,26.8,22.2,70,55.6,11,Diploma,Medium,TRUE,TRUE,TRUE,1.94,11.2,FALSE,35.7,1
STUD0177,Female,23,Nursing,3,71.6,54.9,67.9,100,8,None,High,TRUE,FALSE,TRUE,3.33,12.1,TRUE,62.5,0
STUD0178,Male,18,Computer Science,3,79.9,71.8,65.2,100,11,Degree,Low,TRUE,FALSE,TRUE,4.01,5.2,FALSE,67.6,0
STUD0179,Female,18,Nursing,3,47.7,49.3,60.3,58.2,10,Diploma,Low,FALSE,TRUE,TRUE,2.34,0.6,FALSE,56,0
STUD0180,Male,25,Business,2,71.1,61.4,27.5,87,11,Diploma,Low,FALSE,FALSE,FALSE,3.74,12.1,FALSE,51.6,0
STUD0181,Male,21,Nursing,2,92.4,88.4,33.6,100,5,Diploma,High,TRUE,TRUE,FALSE,4.33,0.8,TRUE,74.2,0
